TIME_DELTA,SPEED,REFERENCE,CONTROL,ERROR
9.26,-8.000000,0.000000,0.000000,0.000000
9.31,-8.000000,0.000000,0.000000,0.000000
9.36,-8.000000,0.000000,0.000000,0.000000
9.42,-8.000000,0.000000,0.000000,0.000000
9.47,-8.000000,0.000000,0.000000,0.000000
9.52,-8.000000,0.000000,0.000000,0.000000
9.57,-8.000000,0.000000,0.000000,0.000000
9.63,-8.000000,0.000000,0.000000,0.000000
9.68,-8.000000,0.000000,0.000000,0.000000
9.71,-8.000000,0.000000,0.000000,0.000000
9.76,-8.000000,0.000000,0.000000,0.000000
9.81,-8.000000,0.000000,0.000000,0.000000
9.86,-8.000000,0.000000,0.000000,0.000000
9.92,-8.000000,0.000000,0.000000,0.000000
9.97,-8.000000,0.000000,0.000000,0.000000
10.02,-8.000000,0.000000,0.000000,0.000000
10.07,-8.000000,0.000000,0.000000,0.000000
10.13,-8.000000,0.000000,0.000000,0.000000
10.18,-8.000000,0.000000,0.000000,0.000000
10.23,-8.000000,0.000000,0.000000,0.000000
10.29,-8.000000,0.000000,0.000000,0.000000
10.34,-8.000000,0.000000,0.000000,0.000000
10.39,-8.000000,0.000000,0.000000,0.000000
10.45,-8.000000,0.000000,0.000000,0.000000
10.50,-8.000000,0.000000,0.000000,0.000000
10.55,-8.000000,0.000000,0.000000,0.000000
10.60,-8.000000,0.000000,0.000000,0.000000
10.65,-8.000000,0.000000,0.000000,0.000000
10.70,-8.000000,0.000000,0.000000,0.000000
10.73,-8.000000,0.000000,0.000000,0.000000
10.78,-8.000000,0.000000,0.000000,0.000000
10.87,-8.000000,0.000000,0.000000,0.000000
10.92,-8.000000,0.000000,0.000000,0.000000
10.97,-8.000000,0.000000,0.000000,0.000000
11.02,-8.000000,0.000000,0.000000,0.000000
11.08,-8.000000,0.000000,0.000000,0.000000
11.23,-8.000000,0.000000,0.000000,0.000000
11.25,-8.000000,0.000000,0.000000,0.000000
11.27,-8.000000,0.000000,0.000000,0.000000
11.29,-8.000000,0.000000,0.000000,0.000000
11.34,-8.000000,0.000000,0.000000,0.000000
11.39,-8.000000,0.000000,0.000000,0.000000
11.45,-8.000000,0.000000,0.000000,0.000000
11.50,-8.000000,0.000000,0.000000,0.000000
11.55,-8.000000,0.000000,0.000000,0.000000
11.58,-8.000000,0.000000,0.000000,0.000000
11.63,-8.000000,0.000000,0.000000,0.000000
11.68,-8.000000,0.000000,0.000000,0.000000
11.74,-8.000000,0.000000,0.000000,0.000000
11.79,-8.000000,0.000000,0.000000,0.000000
11.84,-8.000000,0.000000,0.000000,0.000000
11.89,-8.000000,0.000000,0.000000,0.000000
11.94,-8.000000,0.000000,0.000000,0.000000
11.97,-8.000000,0.000000,0.000000,0.000000
12.02,-8.000000,0.000000,0.000000,0.000000
12.07,-8.000000,0.000000,0.000000,0.000000
12.12,-8.000000,0.000000,0.000000,0.000000
12.17,-8.000000,0.000000,0.000000,0.000000
12.23,-8.000000,0.000000,0.000000,0.000000
12.28,-8.000000,0.000000,0.000000,0.000000
12.33,-8.000000,0.000000,0.000000,0.000000
12.38,-8.000000,0.000000,0.000000,0.000000
12.43,-8.000000,0.000000,0.000000,0.000000
12.48,-8.000000,0.000000,0.000000,0.000000
12.54,-8.000000,0.000000,0.000000,0.000000
12.59,-8.000000,0.000000,0.000000,0.000000
12.64,-8.000000,0.000000,0.000000,0.000000
12.70,-8.000000,0.000000,0.000000,0.000000
12.75,-8.000000,0.000000,0.000000,0.000000
12.80,-8.000000,0.000000,0.000000,0.000000
12.89,-8.000000,0.000000,0.000000,0.000000
12.94,-8.000000,0.000000,0.000000,0.000000
12.99,-8.000000,0.000000,0.000000,0.000000
13.02,-8.000000,0.000000,0.000000,0.000000
13.07,-8.000000,0.000000,0.000000,0.000000
13.12,-8.000000,0.000000,0.000000,0.000000
13.17,-8.000000,0.000000,0.000000,0.000000
13.22,-8.000000,0.000000,0.000000,0.000000
13.28,-8.000000,0.000000,0.000000,0.000000
13.33,-8.000000,0.000000,0.000000,0.000000
13.38,-8.000000,0.000000,0.000000,0.000000
13.48,-8.000000,0.000000,0.000000,0.000000
13.50,-8.000000,0.000000,0.000000,0.000000
13.51,-8.000000,0.000000,0.000000,0.000000
13.54,-8.000000,0.000000,0.000000,0.000000
13.57,-8.000000,0.000000,0.000000,0.000000
13.62,-8.000000,0.000000,0.000000,0.000000
13.67,-8.000000,0.000000,0.000000,0.000000
13.72,-8.000000,0.000000,0.000000,0.000000
13.77,-8.000000,0.000000,0.000000,0.000000
13.83,-8.000000,0.000000,0.000000,0.000000
13.88,-8.000000,0.000000,0.000000,0.000000
13.93,-8.000000,0.000000,0.000000,0.000000
13.98,-8.000000,0.000000,0.000000,0.000000
14.04,-8.000000,0.000000,0.000000,0.000000
14.09,-8.000000,0.000000,0.000000,0.000000
14.14,-8.000000,0.000000,0.000000,0.000000
14.17,-8.000000,0.000000,0.000000,0.000000
14.22,-8.000000,0.000000,0.000000,0.000000
14.27,-8.000000,0.000000,0.000000,0.000000
14.32,-8.000000,0.000000,0.000000,0.000000
14.37,-8.000000,0.000000,0.000000,0.000000
14.43,-8.000000,0.000000,0.000000,0.000000
14.48,-8.000000,0.000000,0.000000,0.000000
14.53,-8.000000,0.000000,0.000000,0.000000
14.59,-8.000000,0.000000,0.000000,0.000000
14.64,-8.000000,0.000000,0.000000,0.000000
14.67,-8.000000,0.000000,0.000000,0.000000
14.72,-8.000000,0.000000,0.000000,0.000000
14.80,-8.000000,0.000000,0.000000,0.000000
14.85,-8.000000,0.000000,0.000000,0.000000
14.90,-8.000000,0.000000,0.000000,0.000000
14.95,-8.000000,0.000000,0.000000,0.000000
14.98,-8.000000,0.000000,0.000000,0.000000
15.03,-8.000000,0.000000,0.000000,0.000000
15.08,-8.000000,0.000000,0.000000,0.000000
15.14,-8.000000,0.000000,0.000000,0.000000
15.17,-8.000000,0.000000,0.000000,0.000000
15.22,-8.000000,0.000000,0.000000,0.000000
15.27,-8.000000,0.000000,0.000000,0.000000
15.32,-8.000000,0.000000,0.000000,0.000000
15.37,-8.000000,0.000000,0.000000,0.000000
15.43,-8.000000,0.000000,0.000000,0.000000
15.48,-8.000000,0.000000,0.000000,0.000000
15.53,-8.000000,0.000000,0.000000,0.000000
15.58,-8.000000,0.000000,0.000000,0.000000
15.63,-8.000000,0.000000,0.000000,0.000000
15.69,-8.000000,0.000000,0.000000,0.000000
15.74,-8.000000,0.000000,0.000000,0.000000
15.77,-8.000000,0.000000,0.000000,0.000000
15.82,-8.000000,0.000000,0.000000,0.000000
15.87,-8.000000,0.000000,0.000000,0.000000
15.93,-8.000000,0.000000,0.000000,0.000000
16.12,-8.000000,0.000000,0.000000,0.000000
16.14,-8.000000,0.000000,0.000000,0.000000
16.16,-8.000000,0.000000,0.000000,0.000000
16.19,-8.000000,0.000000,0.000000,0.000000
16.24,-8.000000,0.000000,0.000000,0.000000
16.27,-8.000000,0.000000,0.000000,0.000000
16.32,-8.000000,0.000000,0.000000,0.000000
16.37,-8.000000,0.000000,0.000000,0.000000
16.42,-8.000000,0.000000,0.000000,0.000000
16.45,-8.000000,0.000000,0.000000,0.000000
16.50,-8.000000,0.000000,0.000000,0.000000
16.69,-8.000000,0.000000,0.000000,0.000000
16.70,-8.000000,0.000000,0.000000,0.000000
16.71,-8.000000,0.000000,0.000000,0.000000
16.74,-8.000000,0.000000,0.000000,0.000000
16.76,-8.000000,0.000000,0.000000,0.000000
16.82,-8.000000,0.000000,0.000000,0.000000
16.90,-8.000000,0.000000,0.000000,0.000000
16.96,-8.000000,0.000000,0.000000,0.000000
17.01,-8.000000,0.000000,0.000000,0.000000
17.06,-8.000000,0.000000,0.000000,0.000000
17.09,-8.000000,0.000000,0.000000,0.000000
17.14,-8.000000,0.000000,0.000000,0.000000
17.19,-8.000000,0.000000,0.000000,0.000000
17.24,-8.000000,0.000000,0.000000,0.000000
17.29,-8.000000,0.000000,0.000000,0.000000
17.34,-8.000000,0.000000,0.000000,0.000000
17.39,-8.000000,0.000000,0.000000,0.000000
17.45,-8.000000,0.000000,0.000000,0.000000
17.50,-8.000000,0.000000,0.000000,0.000000
17.68,-8.000000,0.000000,0.000000,0.000000
17.70,-8.000000,0.000000,0.000000,0.000000
17.72,-8.000000,0.000000,0.000000,0.000000
17.74,-8.000000,0.000000,0.000000,0.000000
17.79,-8.000000,0.000000,0.000000,0.000000
17.84,-8.000000,0.000000,0.000000,0.000000
17.89,-8.000000,0.000000,0.000000,0.000000
17.95,-8.000000,0.000000,0.000000,0.000000
18.00,-8.000000,0.000000,0.000000,0.000000
18.05,-8.000000,0.000000,0.000000,0.000000
18.10,-8.000000,0.000000,0.000000,0.000000
18.16,-8.000000,0.000000,0.000000,0.000000
18.21,-8.000000,0.000000,0.000000,0.000000
18.26,-8.000000,0.000000,0.000000,0.000000
18.31,-8.000000,0.000000,0.000000,0.000000
18.34,-8.000000,0.000000,0.000000,0.000000
18.39,-8.000000,0.000000,0.000000,0.000000
18.44,-8.000000,0.000000,0.000000,0.000000
18.50,-8.000000,0.000000,0.000000,0.000000
18.55,-8.000000,0.000000,0.000000,0.000000
18.60,-8.000000,0.000000,0.000000,0.000000
18.65,-8.000000,0.000000,0.000000,0.000000
18.71,-8.000000,0.000000,0.000000,0.000000
18.73,-8.000000,0.000000,0.000000,0.000000
18.78,-8.000000,0.000000,0.000000,0.000000
18.84,-8.000000,0.000000,0.000000,0.000000
18.88,-8.000000,0.000000,0.000000,0.000000
18.94,-8.000000,0.000000,0.000000,0.000000
18.99,-8.000000,0.000000,0.000000,0.000000
19.04,-8.000000,0.000000,0.000000,0.000000
19.09,-8.000000,0.000000,0.000000,0.000000
19.14,-8.000000,0.000000,0.000000,0.000000
19.20,-8.000000,0.000000,0.000000,0.000000
19.25,-8.000000,0.000000,0.000000,0.000000
19.36,-8.000000,0.000000,0.000000,0.000000
19.38,-8.000000,0.000000,0.000000,0.000000
19.40,-8.000000,0.000000,0.000000,0.000000
19.41,-8.000000,0.000000,0.000000,0.000000
19.45,-8.000000,0.000000,0.000000,0.000000
19.50,-8.000000,0.000000,0.000000,0.000000
19.55,-8.000000,0.000000,0.000000,0.000000
19.61,-8.000000,0.000000,0.000000,0.000000
19.66,-8.000000,0.000000,0.000000,0.000000
19.77,-8.000000,0.000000,0.000000,0.000000
19.79,-8.000000,0.000000,0.000000,0.000000
19.80,-8.000000,0.000000,0.000000,0.000000
19.82,-8.000000,0.000000,0.000000,0.000000
19.86,-8.000000,0.000000,0.000000,0.000000
19.91,-8.000000,0.000000,0.000000,0.000000
19.97,-8.000000,0.000000,0.000000,0.000000
20.02,-8.000000,0.000000,0.000000,0.000000
20.04,-8.000000,0.000000,0.000000,0.000000
20.10,-8.000000,0.000000,0.000000,0.000000
20.15,-8.000000,0.000000,0.000000,0.000000
20.20,-8.000000,0.000000,0.000000,0.000000
20.26,-8.000000,0.000000,0.000000,0.000000
20.31,-8.000000,0.000000,0.000000,0.000000
20.36,-8.000000,0.000000,0.000000,0.000000
20.42,-8.000000,0.000000,0.000000,0.000000
20.47,-8.000000,0.000000,0.000000,0.000000
20.52,-8.000000,0.000000,0.000000,0.000000
20.57,-8.000000,0.000000,0.000000,0.000000
20.62,-8.000000,0.000000,0.000000,0.000000
20.65,-8.000000,0.000000,0.000000,0.000000
20.70,-8.000000,0.000000,0.000000,0.000000
20.78,-8.000000,0.000000,0.000000,0.000000
20.84,-8.000000,0.000000,0.000000,0.000000
20.89,-8.000000,0.000000,0.000000,0.000000
20.94,-8.000000,0.000000,0.000000,0.000000
20.99,-8.000000,0.000000,0.000000,0.000000
21.05,-8.000000,0.000000,0.000000,0.000000
21.10,-8.000000,0.000000,0.000000,0.000000
21.15,-8.000000,0.000000,0.000000,0.000000
21.21,-8.000000,0.000000,0.000000,0.000000
21.26,-8.000000,0.000000,0.000000,0.000000
21.28,-8.000000,0.000000,0.000000,0.000000
21.34,-8.000000,0.000000,0.000000,0.000000
21.39,-8.000000,0.000000,0.000000,0.000000
21.44,-8.000000,0.000000,0.000000,0.000000
21.49,-8.000000,0.000000,0.000000,0.000000
21.55,-8.000000,0.000000,0.000000,0.000000
21.60,-8.000000,0.000000,0.000000,0.000000
21.65,-8.000000,0.000000,0.000000,0.000000
21.68,-8.000000,0.000000,0.000000,0.000000
21.73,-8.000000,0.000000,0.000000,0.000000
21.76,-8.000000,0.000000,0.000000,0.000000
21.81,-8.000000,0.000000,0.000000,0.000000
21.86,-8.000000,0.000000,0.000000,0.000000
21.91,-8.000000,0.000000,0.000000,0.000000
21.97,-8.000000,0.000000,0.000000,0.000000
22.02,-8.000000,0.000000,0.000000,0.000000
22.07,-8.000000,0.000000,0.000000,0.000000
22.10,-8.000000,0.000000,0.000000,0.000000
22.15,-8.000000,0.000000,0.000000,0.000000
22.21,-8.000000,0.000000,0.000000,0.000000
22.26,-8.000000,0.000000,0.000000,0.000000
22.31,-8.000000,0.000000,0.000000,0.000000
22.36,-8.000000,0.000000,0.000000,0.000000
22.42,-8.000000,0.000000,0.000000,0.000000
22.47,-8.000000,0.000000,0.000000,0.000000
22.50,-8.000000,0.000000,0.000000,0.000000
22.55,8.000000,100.000000,0.000000,0.000000
22.63,15.000000,100.000000,0.000000,0.000000
22.65,32.000000,100.000000,0.000000,0.000000
22.68,62.000000,100.000000,0.000000,0.000000
22.71,94.000000,100.000000,0.000000,0.000000
22.73,119.000000,100.000000,0.000000,0.000000
22.76,140.000000,100.000000,0.000000,0.000000
22.81,148.000000,100.000000,0.000000,0.000000
22.86,156.000000,100.000000,0.000000,0.000000
22.89,168.000000,100.000000,0.000000,0.000000
22.92,175.000000,100.000000,0.000000,0.000000
22.94,182.000000,100.000000,0.000000,0.000000
22.99,191.000000,100.000000,0.000000,0.000000
23.04,188.000000,100.000000,0.000000,0.000000
23.07,189.000000,100.000000,0.000000,0.000000
23.10,192.000000,100.000000,0.000000,0.000000
23.13,195.000000,100.000000,0.000000,0.000000
23.15,200.000000,100.000000,0.000000,0.000000
23.20,204.000000,100.000000,0.000000,0.000000
23.26,213.000000,100.000000,0.000000,0.000000
23.28,215.000000,100.000000,0.000000,0.000000
23.31,215.000000,100.000000,0.000000,0.000000
23.34,214.000000,100.000000,0.000000,0.000000
23.39,208.000000,100.000000,0.000000,0.000000
23.44,217.000000,100.000000,0.000000,0.000000
23.47,210.000000,100.000000,0.000000,0.000000
23.50,211.000000,100.000000,0.000000,0.000000
23.52,213.000000,100.000000,0.000000,0.000000
23.55,215.000000,100.000000,0.000000,0.000000
23.63,216.000000,100.000000,0.000000,0.000000
23.66,215.000000,100.000000,0.000000,0.000000
23.69,210.000000,100.000000,0.000000,0.000000
23.71,211.000000,100.000000,0.000000,0.000000
23.74,211.000000,100.000000,0.000000,0.000000
23.79,211.000000,100.000000,0.000000,0.000000
23.84,215.000000,100.000000,0.000000,0.000000
23.87,217.000000,100.000000,0.000000,0.000000
23.90,216.000000,100.000000,0.000000,0.000000
23.92,215.000000,100.000000,0.000000,0.000000
23.95,216.000000,100.000000,0.000000,0.000000
24.03,216.000000,100.000000,0.000000,0.000000
24.06,213.000000,100.000000,0.000000,0.000000
24.09,216.000000,100.000000,0.000000,0.000000
24.11,211.000000,100.000000,0.000000,0.000000
24.14,206.000000,100.000000,0.000000,0.000000
24.19,207.000000,100.000000,0.000000,0.000000
24.24,206.000000,100.000000,0.000000,0.000000
24.27,207.000000,100.000000,0.000000,0.000000
24.29,217.000000,100.000000,0.000000,0.000000
24.32,216.000000,100.000000,0.000000,0.000000
24.39,217.000000,100.000000,0.000000,0.000000
24.42,211.000000,100.000000,0.000000,0.000000
24.43,214.000000,100.000000,0.000000,0.000000
24.44,215.000000,100.000000,0.000000,0.000000
24.47,216.000000,100.000000,0.000000,0.000000
24.50,214.000000,100.000000,0.000000,0.000000
24.55,210.000000,100.000000,0.000000,0.000000
24.60,211.000000,100.000000,0.000000,0.000000
24.63,210.000000,100.000000,0.000000,0.000000
24.65,213.000000,100.000000,0.000000,0.000000
24.68,218.000000,100.000000,0.000000,0.000000
24.71,217.000000,100.000000,0.000000,0.000000
24.79,217.000000,100.000000,0.000000,0.000000
24.82,213.000000,100.000000,0.000000,0.000000
24.85,211.000000,100.000000,0.000000,0.000000
24.87,211.000000,100.000000,0.000000,0.000000
24.90,215.000000,100.000000,0.000000,0.000000
24.95,206.000000,100.000000,0.000000,0.000000
25.00,210.000000,100.000000,0.000000,0.000000
25.03,210.000000,100.000000,0.000000,0.000000
25.06,212.000000,100.000000,0.000000,0.000000
25.08,214.000000,100.000000,0.000000,0.000000
25.11,212.000000,100.000000,0.000000,0.000000
25.19,211.000000,100.000000,0.000000,0.000000
25.22,212.000000,100.000000,0.000000,0.000000
25.25,211.000000,100.000000,0.000000,0.000000
25.37,210.000000,100.000000,0.000000,0.000000
25.38,213.000000,100.000000,0.000000,0.000000
25.41,213.000000,100.000000,0.000000,0.000000
25.42,212.000000,100.000000,0.000000,0.000000
25.44,211.000000,100.000000,0.000000,0.000000
